Year,Constituency_No,Position,Candidate,Party,Votes,Constituency_Name,Vote_Share_Percentage,Margin_Percentage,rural_per
2012,23,4,JITENDRAKUMAR HARIBHAI PATEL,IND,4100,BECHARAJI,2.68,1.35,94.37671156
2012,23,5,CHAUHAN ABBASMIYA GANDAMIYA,IND,2028,BECHARAJI,1.33,0.54,94.37671156
2012,23,6,ZALA INDRAJITSINH MAHENDRASINHJI,SP,1209,BECHARAJI,0.79,0.37,94.37671156
2012,23,7,PARMAR DEVJIBHAI RATILAL,JD(U),637,BECHARAJI,0.42,0.03,94.37671156
2012,23,8,DHAVALKUMAR PRAHLADBHAI PATEL,LJP,594,BECHARAJI,0.39,0,94.37671156
2012,24,1,CHAVADA RAMESHBHAI MAGANBHAI,INC,84276,KADI,47.61,0.69,76.96189277
2012,24,2,HITU KANODIYA,BJP,83059,KADI,46.92,45.12,76.96189277
2012,24,3,PARMAR GIRISHBHAI LAXMANBHAI,IND,3191,KADI,1.8,0.78,76.96189277
2012,24,4,JADAV BABUBHAI RANABHAI,BSP,1816,KADI,1.03,0.03,76.96189277
2012,24,5,SENMA AMRUTBHAI KANTIBHAI,GPP,1769,KADI,1,0,76.96189277
2012,24,6,CHAVDA LAXMICHANDRA PUNJABHAI,IND,1766,KADI,1,0.36,76.96189277
2012,24,7,RAVAT NAGINBHAI POPATBHAI,SP,1131,KADI,0.64,0,76.96189277
2012,25,1,NITINKUMAR RATILAL PATEL,BJP,90134,MEHSANA,55.17,14.82,41.45907684
2012,25,2,NATVARLAL PITAMBARDAS PATEL,INC,65929,MEHSANA,40.35,38.53,41.45907684
2012,25,3,SAIYAD IBRAHIMMIYA BAKSHUMIYA,IND,2971,MEHSANA,1.82,1.23,41.45907684
2012,25,4,SETA SABBIR HUSEN ASHRAFBHAI,IND,959,MEHSANA,0.59,0.16,41.45907684
2012,25,5,PARMAR RAMESHBHAI BHALAJIBHAI,JD(U),704,MEHSANA,0.43,0.07,41.45907684
2012,25,6,THAKOR PRADHANJI ATAJI,IND,593,MEHSANA,0.36,0.14,41.45907684
2012,25,7,THAKOR JAYDEEPJI BALSANGJI,IND,364,MEHSANA,0.22,0.03,41.45907684
2012,25,8,MAHESHBHAI GANESHBHAI PATEL,IND,311,MEHSANA,0.19,0.01,41.45907684
2012,25,9,BABI NIZAKATALI USMANKHAN,IND,300,MEHSANA,0.18,0,41.45907684
2012,25,10,BRAHMKSHATRIYA NIRUPABEN NATVARLAL,IND,295,MEHSANA,0.18,0.04,41.45907684
2012,25,11,PARMAR RAJANIKANTBHAI MOHANBHAI,IND,235,MEHSANA,0.14,0.01,41.45907684
2012,25,12,KURESHI HASANBHAI RASULBHAI,IND,219,MEHSANA,0.13,0,41.45907684
2012,25,13,THAKOR VINODKUMAR MAFAJI,IND,214,MEHSANA,0.13,0.04,41.45907684
2012,25,14,CHAVADA JILUJI JIVANJI,IND,151,MEHSANA,0.09,0,41.45907684
2012,26,1,PRAHLADBHAI ISHWARBHAI PATEL,INC,70729,VIJAPUR,49.26,6.1,85.47
2012,26,2,KANTIBHAI RAMABHAI PATEL,BJP,61970,VIJAPUR,43.16,39.36,85.47
2012,26,3,RATHOD LALSINH SHIVSINH,IND,5453,VIJAPUR,3.8,2.98,85.47
2012,26,4,THAKOR MANSANGJI PUNJAJI,BSP,1174,VIJAPUR,0.82,0.03,85.47
2012,26,5,KANAIYALAL KESHAVLAL PATEL,RLD,1133,VIJAPUR,0.79,0.13,85.47
2012,26,6,SONALBEN JAYANTIBHAI PATEL,SP,946,VIJAPUR,0.66,0.01,85.47
2012,26,7,PRAVINBHAI MATHURBHAI PATEL,GPP,933,VIJAPUR,0.65,0.08,85.47
2012,26,8,BALDEVBHAI KACHRABHAI PATEL,IND,819,VIJAPUR,0.57,0.28,85.47
2012,26,9,BIPINKUMAR MAFATLAL PATEL,LJP,418,VIJAPUR,0.29,0,85.47
2012,27,1,CHAVDA RAJENDRASINH RANJITSINH (RAJUBHAI CHAVDA),INC,85008,HIMATNAGAR,48.69,7.08,70.25183661
